Number of Records,Year_Coal,Value_Coal,Countries
1,01/01/1974,0.695283,Iran
1,01/01/1974,0,Iraq
1,01/01/1974,0,Israel
1,01/01/1974,0,Kuwait
1,01/01/1974,0,Oman
1,01/01/1974,0,Qatar
1,01/01/1974,0,Saudi Arabia
1,01/01/1974,0,United Arab Emirates
1,01/01/1974,0.019,Algeria
1,01/01/1974,0.482643,Egypt
1,01/01/1974,0.367,Morocco
1,01/01/1974,32.870604661,South Africa
1,01/01/1974,2.686971336,Eastern Africa
1,01/01/1974,22.705885163,Australia
1,01/01/1974,0.107959,Bangladesh
1,01/01/1974,202.8,China
1,01/01/1974,0.007,China Hong Kong SAR
1,01/01/1974,44.78556338,India
1,01/01/1974,0.073,Indonesia
1,01/01/1974,60.04692,Japan
1,01/01/1974,0.099,Malaysia
1,01/01/1974,1.499962262,New Zealand
1,01/01/1974,0.533,Pakistan
1,01/01/1974,0.0261296,Philippines
1,01/01/1974,0.005317,Singapore
1,01/01/1974,7.605,South Korea
1,01/01/1974,0,Sri Lanka
1,01/01/1974,2.099,Taiwan
1,01/01/1974,0.144175,Thailand
1,01/01/1974,1.854,Vietnam
1,01/01/1975,15.457,Canada
1,01/01/1975,2.030811121,Mexico
1,01/01/1975,303.141997606,US
1,01/01/1975,0.989762708,Argentina
1,01/01/1975,3.20079517,Brazil
1,01/01/1975,0.842,Chile
1,01/01/1975,2.268664905,Colombia
1,01/01/1975,0,Ecuador
1,01/01/1975,0.167884781,Peru
1,01/01/1975,0,Trinidad & Tobago
1,01/01/1975,0.251905,Venezuela
1,01/01/1975,3.640632464,Austria
1,01/01/1975,8.622439162,Belgium
1,01/01/1975,8.474,Bulgaria
1,01/01/1975,0,Croatia
1,01/01/1975,0,Cyprus
1,01/01/1975,37.938,Czech Republic
1,01/01/1975,2.0514,Denmark
1,01/01/1975,0,Estonia
1,01/01/1975,2.304815133,Finland
1,01/01/1975,24.80155549,France
1,01/01/1975,127.134,Germany
1,01/01/1975,6.456,Greece
1,01/01/1975,7.94,Hungary
1,01/01/1975,0.000232731,Iceland
1,01/01/1975,1.701,Ireland
