Year_Solar_Cons,Values_Solar_Cons,Countries
01/01/1974,,Azerbaijan
01/01/1974,,Belarus
01/01/1974,,Kazakhstan
01/01/1974,,Russian Federation
01/01/1974,,Turkmenistan
01/01/1974,0,USSR
01/01/1974,,Uzbekistan
01/01/1974,0,Iran
01/01/1974,0,Iraq
01/01/1974,0,Israel
01/01/1974,0,Kuwait
01/01/1974,0,Oman
01/01/1974,0,Qatar
01/01/1974,0,Saudi Arabia
01/01/1974,0,United Arab Emirates
01/01/1974,0,Algeria
01/01/1974,0,Egypt
01/01/1974,0,Morocco
01/01/1974,0,South Africa
01/01/1974,0,Eastern Africa
01/01/1974,0,Australia
01/01/1974,0,Bangladesh
01/01/1974,0,China
01/01/1974,0,China Hong Kong SAR
01/01/1974,0,India
01/01/1974,0,Indonesia
01/01/1974,0,Japan
01/01/1974,0,Malaysia
01/01/1974,0,New Zealand
01/01/1974,0,Pakistan
01/01/1974,0,Philippines
01/01/1974,0,Singapore
01/01/1974,0,South Korea
01/01/1974,0,Sri Lanka
01/01/1974,0,Taiwan
01/01/1974,0,Thailand
01/01/1974,0,Vietnam
01/01/1975,0,Canada
01/01/1975,0,Mexico
01/01/1975,0,US
01/01/1975,0,Argentina
01/01/1975,0,Brazil
01/01/1975,0,Chile
01/01/1975,0,Colombia
01/01/1975,0,Ecuador
01/01/1975,0,Peru
01/01/1975,0,Trinidad & Tobago
01/01/1975,0,Venezuela
01/01/1975,0,Austria
01/01/1975,0,Belgium
01/01/1975,0,Bulgaria
01/01/1975,,Croatia
01/01/1975,0,Cyprus
01/01/1975,0,Czech Republic
01/01/1975,0,Denmark
01/01/1975,,Estonia
01/01/1975,0,Finland
01/01/1975,0,France
01/01/1975,0,Germany
01/01/1975,0,Greece
01/01/1975,0,Hungary
01/01/1975,0,Iceland
01/01/1975,0,Ireland
01/01/1975,0,Italy
01/01/1975,,Latvia
01/01/1975,,Lithuania
01/01/1975,0,Luxembourg
01/01/1975,0,Netherlands
01/01/1975,,North Macedonia
01/01/1975,0,Norway
01/01/1975,0,Poland
01/01/1975,0,Portugal
01/01/1975,0,Romania
01/01/1975,0,Slovakia
01/01/1975,,Slovenia
01/01/1975,0,Spain
01/01/1975,0,Sweden
01/01/1975,0,Switzerland
01/01/1975,0,Turkey
01/01/1975,0,Ukraine
01/01/1975,0,United Kingdom
01/01/1975,,Azerbaijan
01/01/1975,,Belarus
01/01/1975,,Kazakhstan
01/01/1975,,Russian Federation
01/01/1975,,Turkmenistan
01/01/1975,0,USSR
01/01/1975,,Uzbekistan
01/01/1975,0,Iran
01/01/1975,0,Iraq
01/01/1975,0,Israel
01/01/1975,0,Kuwait
01/01/1975,0,Oman
01/01/1975,0,Qatar
01/01/1975,0,Saudi Arabia
01/01/1975,0,United Arab Emirates
01/01/1975,0,Algeria
01/01/1975,0,Egypt
01/01/1975,0,Morocco
01/01/1975,0,South Africa
01/01/1975,0,Eastern Africa
01/01/1975,0,Australia
01/01/1975,0,Bangladesh
01/01/1975,0,China
01/01/1975,0,China Hong Kong SAR
01/01/1975,0,India
01/01/1975,0,Indonesia
01/01/1975,0,Japan
01/01/1975,0,Malaysia
01/01/1975,0,New Zealand
01/01/1975,0,Pakistan
01/01/1975,0,Philippines
01/01/1975,0,Singapore
01/01/1975,0,South Korea
01/01/1975,0,Sri Lanka
01/01/1975,0,Taiwan
01/01/1975,0,Thailand
01/01/1975,0,Vietnam
01/01/1976,0,Canada
01/01/1976,0,Mexico
01/01/1976,0,US
01/01/1976,0,Argentina
01/01/1976,0,Brazil
01/01/1976,0,Chile
01/01/1976,0,Colombia
01/01/1976,0,Ecuador
01/01/1976,0,Peru
01/01/1976,0,Trinidad & Tobago
01/01/1976,0,Venezuela
01/01/1976,0,Austria
01/01/1976,0,Belgium
01/01/1976,0,Bulgaria
01/01/1976,,Croatia
01/01/1976,0,Cyprus
01/01/1976,0,Czech Republic
01/01/1976,0,Denmark
01/01/1976,,Estonia
01/01/1976,0,Finland
01/01/1976,0,France
01/01/1976,0,Germany
01/01/1976,0,Greece
01/01/1976,0,Hungary
01/01/1976,0,Iceland
01/01/1976,0,Ireland
01/01/1976,0,Italy
01/01/1976,,Latvia
01/01/1976,,Lithuania
01/01/1976,0,Luxembourg
01/01/1976,0,Netherlands
01/01/1976,,North Macedonia
01/01/1976,0,Norway
01/01/1976,0,Poland
01/01/1976,0,Portugal
01/01/1976,0,Romania
01/01/1976,0,Slovakia
01/01/1976,,Slovenia
01/01/1976,0,Spain
01/01/1976,0,Sweden
01/01/1976,0,Switzerland
01/01/1976,0,Turkey
01/01/1976,0,Ukraine
01/01/1976,0,United Kingdom
01/01/1976,,Azerbaijan
01/01/1976,,Belarus
01/01/1976,,Kazakhstan
01/01/1976,,Russian Federation
01/01/1976,,Turkmenistan
01/01/1976,0,USSR
01/01/1976,,Uzbekistan
01/01/1976,0,Iran
01/01/1976,0,Iraq
01/01/1976,0,Israel
01/01/1976,0,Kuwait
01/01/1976,0,Oman
01/01/1976,0,Qatar
01/01/1976,0,Saudi Arabia
01/01/1976,0,United Arab Emirates
01/01/1976,0,Algeria
01/01/1976,0,Egypt
01/01/1976,0,Morocco
01/01/1976,0,South Africa
01/01/1976,0,Eastern Africa
01/01/1976,0,Australia
01/01/1976,0,Bangladesh
01/01/1976,0,China
01/01/1976,0,China Hong Kong SAR
01/01/1976,0,India
01/01/1976,0,Indonesia
01/01/1976,0,Japan
01/01/1976,0,Malaysia
01/01/1976,0,New Zealand
01/01/1976,0,Pakistan
01/01/1976,0,Philippines
01/01/1976,0,Singapore
01/01/1976,0,South Korea
01/01/1976,0,Sri Lanka
01/01/1976,0,Taiwan
01/01/1976,0,Thailand
01/01/1976,0,Vietnam
01/01/1977,0,Canada
01/01/1977,0,Mexico
01/01/1977,0,US
01/01/1977,0,Argentina
01/01/1977,0,Brazil
01/01/1977,0,Chile
01/01/1977,0,Colombia
01/01/1977,0,Ecuador
01/01/1977,0,Peru
01/01/1977,0,Trinidad & Tobago
01/01/1977,0,Venezuela
01/01/1977,0,Austria
01/01/1977,0,Belgium
01/01/1977,0,Bulgaria
01/01/1977,,Croatia
01/01/1977,0,Cyprus
01/01/1977,0,Czech Republic
01/01/1977,0,Denmark
01/01/1977,,Estonia
01/01/1977,0,Finland
01/01/1977,0,France
01/01/1977,0,Germany
01/01/1977,0,Greece
01/01/1977,0,Hungary
01/01/1977,0,Iceland
01/01/1977,0,Ireland
01/01/1977,0,Italy
01/01/1977,,Latvia
01/01/1977,,Lithuania
01/01/1977,0,Luxembourg
01/01/1977,0,Netherlands
01/01/1977,,North Macedonia
01/01/1977,0,Norway
01/01/1977,0,Poland
01/01/1977,0,Portugal
01/01/1977,0,Romania
01/01/1977,0,Slovakia
01/01/1977,,Slovenia
01/01/1977,0,Spain
01/01/1977,0,Sweden
01/01/1977,0,Switzerland
01/01/1977,0,Turkey
01/01/1977,0,Ukraine
01/01/1977,0,United Kingdom
01/01/1977,,Azerbaijan
01/01/1977,,Belarus
01/01/1977,,Kazakhstan
01/01/1977,,Russian Federation
01/01/1977,,Turkmenistan
01/01/1977,0,USSR
01/01/1977,,Uzbekistan
01/01/1977,0,Iran
01/01/1977,0,Iraq
01/01/1977,0,Israel
01/01/1977,0,Kuwait
01/01/1977,0,Oman
01/01/1977,0,Qatar
01/01/1977,0,Saudi Arabia
01/01/1977,0,United Arab Emirates
01/01/1977,0,Algeria
01/01/1977,0,Egypt
01/01/1977,0,Morocco
01/01/1977,0,South Africa
01/01/1977,0,Eastern Africa
01/01/1977,0,Australia
01/01/1977,0,Bangladesh
01/01/1977,0,China
01/01/1977,0,China Hong Kong SAR
01/01/1977,0,India
01/01/1977,0,Indonesia
01/01/1977,0,Japan
01/01/1977,0,Malaysia
01/01/1977,0,New Zealand
01/01/1977,0,Pakistan
01/01/1977,0,Philippines
