Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1971,0.343938091,Morocco
1,01/01/1971,0.021,South Africa
1,01/01/1971,2.0802588,Eastern Africa
1,01/01/1971,2.60384731,Australia
1,01/01/1971,0,Bangladesh
1,01/01/1971,6.579,China
1,01/01/1971,0,China Hong Kong SAR
1,01/01/1971,7.554,India
1,01/01/1971,0.312,Indonesia
1,01/01/1971,17.968057338,Japan
1,01/01/1971,0.297,Malaysia
1,01/01/1971,3.257,New Zealand
1,01/01/1971,0.863,Pakistan
1,01/01/1971,0.386,Philippines
1,01/01/1971,0,Singapore
1,01/01/1971,0.298677649,South Korea
1,01/01/1971,0.186790062,Sri Lanka
1,01/01/1971,0.7,Taiwan
1,01/01/1971,0.519,Thailand
1,01/01/1971,0.138932887,Vietnam
1,01/01/1972,38.768,Canada
1,01/01/1972,3.489,Mexico
1,01/01/1972,63.06647687,US
1,01/01/1972,0.336,Argentina
1,01/01/1972,11.467846314,Brazil
1,01/01/1972,1.182,Chile
1,01/01/1972,1.609951802,Colombia
1,01/01/1972,0.243,Ecuador
1,01/01/1972,1.005,Peru
1,01/01/1972,0,Trinidad & Tobago
1,01/01/1972,1.363,Venezuela
1,01/01/1972,3.911752727,Austria
1,01/01/1972,0.040729511,Belgium
1,01/01/1972,0.474,Bulgaria
1,01/01/1972,,Croatia
1,01/01/1972,0,Cyprus
1,01/01/1972,0.284,Czech Republic
1,01/01/1972,0.005,Denmark
1,01/01/1972,,Estonia
1,01/01/1972,2.34868941,Finland
1,01/01/1972,11.049343124,France
1,01/01/1972,2.988164547,Germany
1,01/01/1972,0.671,Greece
1,01/01/1972,0.024,Hungary
1,01/01/1972,0.385255917,Iceland
1,01/01/1972,0.155263158,Ireland
1,01/01/1972,9.356021179,Italy
1,01/01/1972,,Latvia
1,01/01/1972,,Lithuania
1,01/01/1972,0.013002217,Luxembourg
1,01/01/1972,0,Netherlands
1,01/01/1972,,North Macedonia
1,01/01/1972,15.418,Norway
1,01/01/1972,0.339317554,Poland
1,01/01/1972,1.603385075,Portugal
1,01/01/1972,1.661,Romania
1,01/01/1972,0.349821243,Slovakia
