Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Egypt,-10,1,1974,0
Morocco,-10,1,1974,0
South Africa,-10,1,1974,0
Eastern Africa,-10,1,1974,0
Australia,-10,1,1974,0
Bangladesh,-10,1,1974,0
China,-10,1,1974,0
Hong Kong SAR,-10,1,1974,0
India,1.7986958,1,1974,1.7986958
Indonesia,-10,1,1974,0
Japan,18.583576999999998,1,1974,18.583577
Malaysia,-10,1,1974,0
New Zealand,-10,1,1974,0
Pakistan,0.53032800000000002,1,1974,0.530328
Philippines,-10,1,1974,0
Singapore,-10,1,1974,0
South Korea,-10,1,1974,0
Sri Lanka,-10,1,1974,0
Taiwan,-10,1,1974,0
Thailand,-10,1,1974,0
Vietnam,-10,1,1974,0
Canada,11.799797999999999,1,1975,11.799798
Mexico,-10,1,1975,0
US,181.58428950000001,1,1975,181.5842895
Argentina,2.2892492,1,1975,2.2892492
Brazil,-10,1,1975,0
Chile,-10,1,1975,0
Colombia,-10,1,1975,0
Ecuador,-10,1,1975,0
Peru,-10,1,1975,0
Trinidad and Tobago,-10,1,1975,0
Venezuela,-10,1,1975,0
Austria,-10,1,1975,0
Belgium,6.7839999999999998,1,1975,6.784
Bulgaria,2.5544131999999999,1,1975,2.5544132
Croatia,,1,1975,
Cyprus,-10,1,1975,0
Czech Republic,-10,1,1975,0
Denmark,-10,1,1975,0
Estonia,,1,1975,
Finland,-10,1,1975,0
France,18.248000000000001,1,1975,18.248
Germany,24.143182199999998,1,1975,24.1431822
Greece,-10,1,1975,0
Hungary,-10,1,1975,0
Iceland,-10,1,1975,0
Ireland,-10,1,1975,0
Italy,3.3322276,1,1975,3.3322276
Latvia,,1,1975,
Lithuania,,1,1975,
Luxembourg,-10,1,1975,0
Netherlands,3.1024188000000001,1,1975,3.1024188
North Macedonia,,1,1975,
Norway,-10,1,1975,0
Poland,-10,1,1975,0
Portugal,-10,1,1975,0
Romania,-10,1,1975,0
Slovakia,0.1856148,1,1975,0.1856148
Slovenia,,1,1975,
Spain,7.5439157999999997,1,1975,7.5439158
Sweden,11.9721546,1,1975,11.9721546
Switzerland,7.3715592000000001,1,1975,7.3715592
Turkey,-10,1,1975,0
Ukraine,-10,1,1975,0
United Kingdom,30.3436004,1,1975,30.3436004
Azerbaijan,,1,1975,
Belarus,,1,1975,
Kazakhstan,,1,1975,
Russian Federation,,1,1975,
Turkmenistan,,1,1975,
USSR,28.615614999999998,1,1975,28.615615
Uzbekistan,,1,1975,
Iran,-10,1,1975,0
Iraq,-10,1,1975,0
Israel,-10,1,1975,0
Kuwait,-10,1,1975,0
Oman,-10,1,1975,0
Qatar,-10,1,1975,0
Saudi Arabia,-10,1,1975,0
United Arab Emirates,-10,1,1975,0
Algeria,-10,1,1975,0
Egypt,-10,1,1975,0
Morocco,-10,1,1975,0
South Africa,-10,1,1975,0
Eastern Africa,-10,1,1975,0
Australia,-10,1,1975,0
Bangladesh,-10,1,1975,0
China,-10,1,1975,0
Hong Kong SAR,-10,1,1975,0
India,2.1434090000000001,1,1975,2.143409
Indonesia,-10,1,1975,0
Japan,21.712512199999999,1,1975,21.7125122
Malaysia,-10,1,1975,0
New Zealand,-10,1,1975,0
Pakistan,0.60987720000000001,1,1975,0.6098772
Philippines,-10,1,1975,0
Singapore,-10,1,1975,0
South Korea,-10,1,1975,0
Sri Lanka,-10,1,1975,0
Taiwan,-10,1,1975,0
Thailand,-10,1,1975,0
Vietnam,-10,1,1975,0
Canada,15.9010012,1,1976,15.9010012
Mexico,-10,1,1976,0
US,201.16161159999999,1,1976,201.1616116
Argentina,2.3467014000000002,1,1976,2.3467014
Brazil,-10,1,1976,0
Chile,-10,1,1976,0
Colombia,-10,1,1976,0
Ecuador,-10,1,1976,0
Peru,-10,1,1976,0
Trinidad and Tobago,-10,1,1976,0
Venezuela,-10,1,1976,0
Austria,-10,1,1976,0
Belgium,10.036,1,1976,10.036
Bulgaria,4.9895025999999998,1,1976,4.9895026
Croatia,,1,1976,
Cyprus,-10,1,1976,0
Czech Republic,-10,1,1976,0
Denmark,-10,1,1976,0
Estonia,,1,1976,
Finland,-10,1,1976,0
France,15.778,1,1976,15.778
Germany,29.636496399999999,1,1976,29.6364964
Greece,-10,1,1976,0
Hungary,-10,1,1976,0
Iceland,-10,1,1976,0
Ireland,-10,1,1976,0
Italy,3.7962645999999998,1,1976,3.7962646
Latvia,,1,1976,
