Number of Records,Year,CDE_Energy_Values,Countries
1,1972,4564.699478235,US
1,1972,86.639731038,Argentina
1,1972,104.066837638,Brazil
1,1972,22.373272154,Chile
1,1972,29.349780427,Colombia
1,1972,3.839428403,Ecuador
1,1972,14.226246221,Peru
1,1972,14.304806685,Trinidad & Tobago
1,1972,52.218678349,Venezuela
1,1972,54.51050669,Austria
1,1972,149.309469181,Belgium
1,1972,66.629984883,Bulgaria
1,1972,,Croatia
1,1972,2.742011819,Cyprus
1,1972,180.694855107,Czech Republic
1,1972,66.636027447,Denmark
1,1972,,Estonia
1,1972,44.833987531,Finland
1,1972,474.992198872,France
1,1972,1065.98161602,Germany
1,1972,41.860562121,Greece
1,1972,65.570189986,Hungary
1,1972,1.779864604,Iceland
1,1972,23.235063468,Ireland
1,1972,357.902874477,Italy
1,1972,,Latvia
1,1972,,Lithuania
1,1972,14.540692411,Luxembourg
1,1972,192.649353008,Netherlands
1,1972,,North Macedonia
1,1972,27.904403007,Norway
1,1972,339.421725022,Poland
1,1972,17.849734287,Portugal
1,1972,114.565978869,Romania
1,1972,44.318787959,Slovakia
1,1972,,Slovenia
1,1972,135.541156896,Spain
1,1972,91.296377599,Sweden
1,1972,42.938799389,Switzerland
1,1972,48.930993541,Turkey
1,1972,,Ukraine
1,1972,682.367123316,United Kingdom
1,1972,,Azerbaijan
1,1972,,Belarus
1,1972,,Kazakhstan
1,1972,,Russian Federation
1,1972,,Turkmenistan
1,1972,2529.798390993,USSR
1,1972,,Uzbekistan
1,1972,46.816071084,Iran
1,1972,12.052711833,Iraq
1,1972,15.94173603,Israel
1,1972,18.016978686,Kuwait
1,1972,4.905652014,Oman
1,1972,2.598860343,Qatar
1,1972,71.857632777,Saudi Arabia
1,1972,3.281389008,United Arab Emirates
1,1972,9.986480526,Algeria
1,1972,23.132135869,Egypt
1,1972,7.947493981,Morocco
1,1972,144.948423769,South Africa
1,1972,37.468751042,Eastern Africa
1,1972,168.205811591,Australia
1,1972,3.325217631,Bangladesh
1,1972,945.376724438,China
1,1972,14.743716101,China Hong Kong SAR
1,1972,219.216362178,India
1,1972,25.417301355,Indonesia
1,1972,880.912876635,Japan
1,1972,12.165755018,Malaysia
1,1972,19.350707761,New Zealand
1,1972,17.632859097,Pakistan
1,1972,25.489670404,Philippines
1,1972,25.93484214,Singapore
1,1972,54.58453375,South Korea
1,1972,3.065717152,Sri Lanka
1,1972,35.344838028,Taiwan
1,1972,22.296594282,Thailand
1,1972,21.119197302,Vietnam
1,1974,392.532092669,Canada
1,1974,120.841303849,Mexico
1,1974,4596.370254972,US
1,1974,91.653570732,Argentina
1,1974,134.125316536,Brazil
1,1974,20.712262739,Chile
1,1974,32.30465239,Colombia
1,1974,4.810389171,Ecuador
1,1974,19.624896218,Peru
1,1974,13.312791819,Trinidad & Tobago
1,1974,60.735106298,Venezuela
1,1974,55.2037413,Austria
1,1974,141.365466662,Belgium
1,1974,69.861435581,Bulgaria
1,1974,,Croatia
1,1974,2.395977854,Cyprus
1,1974,181.365991674,Czech Republic
1,1974,59.204795215,Denmark
1,1974,,Estonia
1,1974,46.021633995,Finland
1,1974,496.72810078,France
1,1974,1083.784778841,Germany
1,1974,48.249148738,Greece
1,1974,71.879323565,Hungary
1,1974,1.904373611,Iceland
1,1974,24.758431814,Ireland
1,1974,375.053884306,Italy
1,1974,,Latvia
1,1974,,Lithuania
1,1974,15.445947024,Luxembourg
1,1974,186.024563473,Netherlands
1,1974,,North Macedonia
1,1974,26.20638388,Norway
1,1974,352.400842876,Poland
1,1974,21.095458325,Portugal
1,1974,125.972256947,Romania
1,1974,46.794500726,Slovakia
1,1974,,Slovenia
1,1974,162.006115181,Spain
1,1974,84.890467596,Sweden
1,1974,41.331156939,Switzerland
1,1974,56.471648449,Turkey
1,1974,,Ukraine
1,1974,668.145195282,United Kingdom
1,1974,,Azerbaijan
1,1974,,Belarus
1,1974,,Kazakhstan
1,1974,,Russian Federation
1,1974,,Turkmenistan
1,1974,2742.357464275,USSR
